enz,max_slope,r2,intercept,substrate,colony
c37_ethylcarbamate_4np,0.118841638,0.9970743619387833,-14.65562155,ethylcarbamate,c37
wt_ethylcarbamate_4np_136,0.118210331,0.9973329060533505,-14.49963713,ethylcarbamate,wt
wt_ethylcarbamate_4np_184,0.11818372,0.9971707181223816,-15.16677406,ethylcarbamate,wt
c35_ethylcarbamate_4np,0.108768363,0.9969111434831626,-14.75587091,ethylcarbamate,c35
c38_ethylcarbamate_4np,0.10857496,0.9984002266305813,-13.57544188,ethylcarbamate,c38
rfp_ethylcarbamate_4np_88,0.108043047,0.9962743427955446,-15.35438554,ethylcarbamate,rfp
c36_ethylcarbamate_4np,0.107179476,0.9965145863023341,-13.60660375,ethylcarbamate,c36
c23_ethylcarbamate_4np,0.099939216,0.9971387210230864,-5.819242366,ethylcarbamate,c23
c44_ethylcarbamate_4np,0.098701732,0.9971408529048607,-14.1264734,ethylcarbamate,c44
c34_ethylcarbamate_4np,0.098058768,0.9978254528320415,-13.40307643,ethylcarbamate,c34
c31_ethylcarbamate_4np,0.097986864,0.9970856241136615,-13.42249513,ethylcarbamate,c31
c30_ethylcarbamate_4np,0.095468016,0.99650623,-13.34671147,ethylcarbamate,c30
c28_ethylcarbamate_4np,0.095352787,0.997520232,-13.01481079,ethylcarbamate,c28
c15_ethylcarbamate_4np,0.090244799,0.9983084806582934,-13.77768042,ethylcarbamate,c15
c22_ethylcarbamate_4np,0.089306542,0.9971101836118553,-11.36916758,ethylcarbamate,c22
c21_ethylcarbamate_4np,0.088878687,0.9969569972056748,-8.841575704,ethylcarbamate,c21
c14_ethylcarbamate_4np,0.088412131,0.998004005,-13.58357144,ethylcarbamate,c14
c13_ethylcarbamate_4np,0.087248515,0.9979106661981739,-12.89231947,ethylcarbamate,c13
c5_ethylcarbamate_4np,0.086555147,0.9966875204000293,-13.23874991,ethylcarbamate,c5
c4_ethylcarbamate_4np,0.08228819,0.9966428682092833,-13.99925941,ethylcarbamate,c4
c32_ethylcarbamate_4np_39,0.078937181,0.9977066703472042,-11.18804029,ethylcarbamate,c32
c20_ethylcarbamate_4np,0.078574662,0.9972366227877231,-5.47192603,ethylcarbamate,c20
c6_ethylcarbamate_4np,0.077159109,0.9960509131866867,-14.27239611,ethylcarbamate,c6
rfp_ethylcarbamate_4np_40,0.07715645,0.9949467648188441,-13.30982182,ethylcarbamate,rfp
c19_ethylcarbamate_4np,0.077148847,0.9984740557561443,-9.109852634,ethylcarbamate,c19
c29_ethylcarbamate_4np,0.071758193,0.9978685003062692,-11.54021356,ethylcarbamate,c29
c12_ethylcarbamate_4np,0.069740348,0.9965589244637263,-12.81821113,ethylcarbamate,c12
c43_ethylcarbamate_4np,0.068985668,0.9970915272778706,-10.29997353,ethylcarbamate,c43
c3_ethylcarbamate_4np,0.068105655,0.9968049247721184,-13.42457306,ethylcarbamate,c3
c27_ethylcarbamate_4np,0.067854123,0.9985938505906273,-10.29863477,ethylcarbamate,c27
c7_ethylcarbamate_4np,0.063358696,0.9962988412663261,-13.07523832,ethylcarbamate,c7
c16_ethylcarbamate_4np,0.063027797,0.9983159267099949,-11.06873422,ethylcarbamate,c16
c33_ethylcarbamate_4np,0.031776612,0.9954852490269993,-7.01837624,ethylcarbamate,c33
c18_ethylcarbamate_4np,0.03174027,0.9968219984789399,-5.01881899,ethylcarbamate,c18
c40_ethylcarbamate_4np,0.026806722,0.9957358449806485,-3.295244491,ethylcarbamate,c40
c11_ethylcarbamate_4np,0.025832575,0.9951034937457041,-9.246630356,ethylcarbamate,c11
c41_ethylcarbamate_4np,0.024542618,0.9952058964249888,-4.01880275,ethylcarbamate,c41
c9_ethylcarbamate_4np,0.020784652,0.9935301958233762,-6.493906145,ethylcarbamate,c9
c2_ethylcarbamate_4np,0.019937225,0.992831238,-7.687604115,ethylcarbamate,c2
c8_ethylcarbamate_4np,0.0173703,0.9917887844507947,-6.90861823,ethylcarbamate,c8
c10_ethylcarbamate_4np,0.01660481,0.9901492539058356,-6.798130585,ethylcarbamate,c10
c24_ethylcarbamate_4np,0.014150917,0.9871085058389579,-0.649492633,ethylcarbamate,c24
c42_ethylcarbamate_4np,0.013983602,0.9841775810972393,-4.14857288,ethylcarbamate,c42
c32_ethylcarbamate_4np_352,0.013831637,0.9844890246567075,-4.203956334,ethylcarbamate,c32
c26_ethylcarbamate_4np,0.013353901,0.981413014,-4.808888889,ethylcarbamate,c26
c17_ethylcarbamate_4np,0.01122326,0.9751614200726807,-3.544941003,ethylcarbamate,c17
c25_ethylcarbamate_4np,0.00922449,0.9705428807890029,-3.906097197,ethylcarbamate,c25
c1_ethylcarbamate_4np,0.001631593,0.3455143693803614,-7.22227285,ethylcarbamate,c1
rfp_ethylurea_4np_85,0.056678862,0.9954016922336013,8.931100167828285,ethylurea,rfp
c37_ethylurea_4np,0.056433379,0.9957050030481825,10.84314655480224,ethylurea,c37
wt_ethylurea_4np_133,0.052084739,0.9981870377159546,9.875041358082951,ethylurea,wt
c36_ethylurea_4np,0.050951161,0.995970666,11.805295245658261,ethylurea,c36
wt_ethylurea_4np_181,0.050832423,0.9944190342280093,9.827873161,ethylurea,wt
