time,temperature_c,DEET_hydrolase_4NP_butyrate,DEET_hydrolase_4NP_butyrate,DEET_hydrolase_4NP_butyrate,buffer,buffer,buffer,NA,NA,NA,NA,NA,NA,DEET_hydrolase_4NP_trimethylacetate,DEET_hydrolase_4NP_trimethylacetate,DEET_hydrolase_4NP_trimethylacetate,buffer,buffer,buffer,NA,NA,NA,NA,NA,NA,DEET_hydrolase_4NP_acetamide,DEET_hydrolase_4NP_acetamide,DEET_hydrolase_4NP_acetamide,buffer,buffer,buffer,NA,NA,NA,NA,NA,NA,stdcurve_0,stdcurve_1,stdcurve_2,stdcurve_3,stdcurve_4,stdcurve_5,NA,NA,NA,NA,NA,NA,boiled_control_4NP_butyrate,boiled_control_4NP_trimethylacetate,boiled_control_4NP_acetamide,TNG + butyrate,TNG + trimethylacetate,TNG + acetamide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899-12-31T00:00:10Z,37,0.528,0.5189,0.5824,0.0941,0.0984,0.0937,0.1004,0.1006,0.1016,0.0996,0.0997,0.1051,0.4319,0.416,0.3386,0.0933,0.096,0.093,0.1011,0.1008,0.0997,0.0996,0.0994,0.1002,0.0993,0.099,0.1015,0.0931,0.0932,0.0934,0.1044,0.1018,0.1004,0.1001,0.0979,0.0998,0.0942,0.53,0.8847,1.0913,1.4021,1.7153,0.1011,0.0936,0.0981,0.0998,0.1039,0.1029,0.1031,0.1077,0.1008,0.0959,0.1007,0.097,0.1007,0.101,0.1,0.1001,0.1004,0.1003,0.1014,0.1008,0.0982,0.1,0.102,0.1008,0.1018,0.1003,0.1003,0.1002,0.0992,0.0999,0.1007,0.1008,0.1026,0.1021,0.1006,0.1001,0.1018,0.1008,0.101,0.1002,0.1002,0.0993,0.1006,0.1032,0.1074,0.1008,0.1003,0.1003,0.1025,0.1001,0.1001,0.1004,0.1006,0.1035
1899-12-31T00:01:10Z,37,0.6301,0.6138,0.6198,0.094,0.0973,0.0935,0.1003,0.1005,0.1014,0.0995,0.0996,0.105,0.5034,0.4688,0.4061,0.0933,0.0961,0.0929,0.1012,0.1007,0.0996,0.0995,0.0993,0.1,0.0993,0.099,0.1013,0.0931,0.0932,0.0934,0.1019,0.1018,0.1003,0.1,0.0979,0.0996,0.0942,0.5461,0.8442,1.0907,1.4494,1.7212,0.101,0.0934,0.098,0.0996,0.1035,0.1028,0.1059,0.117,0.103,0.0987,0.1058,0.0971,0.1007,0.1009,0.0999,0.1,0.1003,0.1002,0.1013,0.1007,0.0981,0.0999,0.1019,0.1008,0.1019,0.1002,0.1003,0.1002,0.0992,0.0998,0.1006,0.1008,0.1026,0.102,0.1005,0.1001,0.1018,0.1007,0.1008,0.1001,0.1001,0.0991,0.1007,0.1026,0.1074,0.1007,0.1002,0.1003,0.1025,0.1002,0.1,0.1003,0.1006,0.1034
1899-12-31T00:02:10Z,37,0.6423,0.6558,0.6791,0.094,0.0978,0.0935,0.1003,0.1005,0.1013,0.0995,0.0996,0.1048,0.5776,0.5414,0.4632,0.0933,0.096,0.0929,0.1009,0.1006,0.0996,0.0994,0.0993,0.1,0.0995,0.0991,0.102,0.0931,0.0932,0.0934,0.1019,0.1017,0.1003,0.0999,0.0978,0.0996,0.0941,0.5444,0.8699,1.09,1.4501,1.7166,0.1009,0.0936,0.098,0.0997,0.1037,0.1027,0.1105,0.1235,0.1049,0.1011,0.1053,0.0974,0.1006,0.1008,0.1,0.1,0.1003,0.1002,0.1013,0.1006,0.098,0.0998,0.1019,0.1008,0.1018,0.1002,0.1001,0.1001,0.0991,0.0999,0.1006,0.1008,0.1025,0.1021,0.1005,0.1,0.1018,0.1007,0.1008,0.1001,0.1001,0.0994,0.1004,0.1032,0.1073,0.1007,0.1001,0.1002,0.1025,0.0997,0.0999,0.1003,0.1005,0.1033
1899-12-31T00:03:10Z,37,0.6995,0.6953,0.7479,0.0939,0.0978,0.0935,0.1002,0.1005,0.1013,0.0994,0.0996,0.1048,0.6431,0.6078,0.513,0.0933,0.0961,0.0928,0.1008,0.1006,0.0995,0.0995,0.0992,0.1,0.0995,0.0992,0.1018,0.093,0.0932,0.0935,0.1019,0.1017,0.1003,0.0999,0.0978,0.0996,0.0943,0.5433,0.8691,1.1055,1.4544,1.7262,0.101,0.0937,0.098,0.0997,0.1038,0.1027,0.1162,0.1317,0.1096,0.1038,0.1034,0.0975,0.1006,0.1008,0.0999,0.1,0.1003,0.1002,0.1013,0.1007,0.098,0.0998,0.1019,0.1008,0.1018,0.1002,0.1001,0.1001,0.0991,0.0998,0.1005,0.1006,0.1025,0.1021,0.1005,0.1,0.1017,0.1006,0.1008,0.1001,0.1001,0.0994,0.1004,0.103,0.1072,0.1007,0.1002,0.1002,0.1024,0.0996,0.1,0.1002,0.1005,0.1033
1899-12-31T00:04:10Z,37,0.7726,0.7488,0.8104,0.0939,0.0978,0.0935,0.1002,0.1005,0.1012,0.0994,0.0995,0.1047,0.7069,0.6738,0.5703,0.0932,0.096,0.0928,0.1007,0.1006,0.0994,0.0993,0.0991,0.0999,0.0996,0.0992,0.1021,0.093,0.0932,0.0934,0.1018,0.1017,0.1002,0.0998,0.0977,0.0995,0.0942,0.5423,0.8548,1.1069,1.4502,1.7227,0.1009,0.0937,0.098,0.0997,0.1038,0.1026,0.123,0.1359,0.1134,0.1065,0.1069,0.0973,0.1006,0.1008,0.0999,0.0999,0.1005,0.1002,0.1013,0.1006,0.098,0.0997,0.1019,0.1007,0.1018,0.1001,0.1001,0.1,0.099,0.0999,0.1006,0.1006,0.1024,0.102,0.1005,0.1,0.1017,0.1006,0.1008,0.1,0.1,0.0995,0.1004,0.1037,0.1071,0.1007,0.1001,0.1002,0.1025,0.0996,0.0999,0.1002,0.1004,0.1033
1899-12-31T00:05:10Z,36.9,0.847,0.8042,0.866,0.0938,0.0979,0.0933,0.1002,0.1004,0.1012,0.0993,0.0995,0.1047,0.7655,0.7258,0.6116,0.0932,0.0961,0.0927,0.1007,0.1005,0.0994,0.0992,0.0991,0.0998,0.0996,0.0993,0.1023,0.093,0.0931,0.0934,0.1018,0.1016,0.1001,0.0997,0.0977,0.0995,0.0943,0.5418,0.8596,1.0964,1.4453,1.7169,0.1009,0.0937,0.098,0.0997,0.104,0.1026,0.1313,0.135,0.1184,0.1095,0.1062,0.0975,0.1005,0.1007,0.0999,0.0999,0.1007,0.1001,0.1013,0.1006,0.0979,0.0997,0.1019,0.1007,0.1017,0.1001,0.1,0.1001,0.099,0.0998,0.1005,0.1006,0.1024,0.1019,0.1003,0.0999,0.1017,0.1006,0.1008,0.1,0.1001,0.0995,0.1004,0.1041,0.1071,0.1007,0.1001,0.1001,0.1024,0.0995,0.0999,0.1002,0.1004,0.1032
1899-12-31T00:06:10Z,37,0.9071,0.861,0.9181,0.0938,0.0979,0.0933,0.1001,0.1004,0.1012,0.0993,0.0994,0.1047,0.8147,0.7776,0.6506,0.0931,0.096,0.0927,0.1006,0.1005,0.0994,0.0992,0.0991,0.0998,0.0996,0.0993,0.1021,0.0928,0.093,0.0933,0.1017,0.1016,0.1002,0.0997,0.0976,0.0994,0.094,0.5405,0.8575,1.0953,1.4399,1.7164,0.1009,0.0936,0.0979,0.0996,0.1039,0.1026,0.1382,0.1356,0.126,0.1125,0.1056,0.0974,0.1005,0.1007,0.0998,0.0998,0.1002,0.1001,0.1012,0.1005,0.0979,0.0997,0.1018,0.1006,0.1017,0.1,0.1,0.1,0.099,0.0998,0.1005,0.1006,0.1024,0.1019,0.1004,0.0999,0.1017,0.1005,0.1007,0.0999,0.1,0.0994,0.1004,0.1031,0.1071,0.1006,0.1001,0.1001,0.1024,0.0995,0.0999,0.1001,0.1004,0.1032
1899-12-31T00:07:10Z,37,0.9617,0.9164,0.9692,0.0939,0.098,0.0933,0.1002,0.1003,0.1012,0.0994,0.0994,0.1049,0.8629,0.8261,0.6861,0.0931,0.0959,0.0927,0.1008,0.1005,0.0994,0.0993,0.0991,0.0998,0.0996,0.0993,0.1017,0.0928,0.093,0.0932,0.1018,0.1016,0.1001,0.0998,0.0977,0.0995,0.0941,0.5401,0.8592,1.0903,1.4364,1.7095,0.1008,0.0935,0.0979,0.0996,0.1039,0.1025,0.1448,0.1418,0.1344,0.1156,0.1096,0.0973,0.1005,0.1007,0.0998,0.0999,0.1001,0.1,0.1012,0.1005,0.0979,0.0996,0.1018,0.1007,0.1018,0.1,0.1,0.1,0.0989,0.0997,0.1004,0.1006,0.1024,0.1021,0.1004,0.0999,0.1016,0.1005,0.1007,0.0999,0.1,0.0992,0.1004,0.1022,0.1072,0.1006,0.1,0.1001,0.1023,0.0996,0.0999,0.1001,0.1003,0.1032
1899-12-31T00:08:10Z,36.9,1.0183,0.9635,1.023,0.0938,0.0982,0.0933,0.1001,0.1004,0.1012,0.0993,0.0994,0.1048,0.9068,0.8704,0.7264,0.0931,0.0959,0.0927,0.1007,0.1004,0.0994,0.0993,0.0991,0.0998,0.0997,0.0994,0.1021,0.0929,0.0931,0.0932,0.1017,0.1016,0.1001,0.0997,0.0977,0.0995,0.094,0.539,0.8564,1.0952,1.4298,1.7016,0.1008,0.0936,0.0979,0.0996,0.1039,0.1026,0.1539,0.1503,0.1405,0.1188,0.1081,0.0975,0.1005,0.1007,0.0998,0.0998,0.1001,0.1001,0.1012,0.1006,0.0979,0.0997,0.1018,0.1006,0.1017,0.1,0.1,0.1,0.099,0.0997,0.1005,0.1006,0.1024,0.102,0.1004,0.0999,0.1016,0.1005,0.1007,0.0999,0.1,0.0992,0.1004,0.1026,0.1072,0.1006,0.1001,0.1001,0.1024,0.0996,0.0999,0.1002,0.1003,0.1032
1899-12-31T00:09:10Z,37,1.0765,1.0129,1.0779,0.0937,0.0982,0.0932,0.1002,0.1004,0.1011,0.0993,0.0993,0.1048,0.9444,0.9084,0.7567,0.0931,0.0958,0.0928,0.1007,0.1005,0.0994,0.0993,0.0991,0.0998,0.0999,0.0994,0.1025,0.0929,0.0931,0.0932,0.1017,0.1016,0.1002,0.0997,0.0977,0.0995,0.094,0.538,0.8582,1.092,1.4256,1.7051,0.1008,0.0935,0.0979,0.0996,0.1038,0.1025,0.1605,0.1462,0.1486,0.1219,0.1047,0.0975,0.1005,0.1007,0.0998,0.0998,0.1001,0.1001,0.1012,0.1005,0.0979,0.0997,0.1018,0.1006,0.1017,0.1,0.1,0.1,0.0989,0.0997,0.1005,0.1006,0.1024,0.102,0.1004,0.0999,0.1016,0.1005,0.1007,0.0999,0.1,0.0992,0.1004,0.1025,0.1072,0.1006,0.1001,0.1001,0.1024,0.0996,0.0998,0.1001,0.1003,0.1032
