org,max_slope,r2,intercept
Ochro_refrozen_1_enzyme_substrate,0.18887967684120574,0.9507560292341174,26.3351184595303
Lacticasei__boiled_control_substrate,0.09041187354166465,0.9140092880710446,0.9602437396180259
Cory__enzyme_substrate,0.0783279789048458,0.7191548154811054,1.2780665895262981
Gordon__enzyme_substrate,0.07259030231470184,0.9905017443547541,1.6794334879668145
Ochro_refrozen_1_boiled_control_substrate,0.058506914320711645,0.9294668009921644,2.8580623766078808
Lacticasei__enzyme_substrate,0.045263893100025536,0.9908344659169053,1.3639578693908792
pcdf__enzyme_substrate,0.0441917010099481,0.9901761188289394,1.5512051096264745
Gordon__boiled_control_substrate,0.03196291555014599,0.995453968981275,1.3283243863251537
Cory__boiled_control_substrate,0.03094867978926203,0.9889117517860034,1.4268598053420891
TNG + substrate,0.028891230102897243,0.9816548734180339,1.7995962771610783
pcdf__boiled_control_substrate,0.025703631997261597,0.8899447438819541,1.6536912184167585
buffer_(TNG),0.002492122155315413,0.9663763066202034,-2.206586681389959
