org,max_slope
pH6_buffer_1,2.57E-04
pH6_buffer_2,2.29E-04
pH6_buffer_3,5.43E-04
pH6_p055_1,0.008085714
pH6_p055_2,0.008
pH6_p055_3,0.008228571
pH7_buffer_1,1.00E-03
pH7_buffer_2,1.00E-03
pH7_buffer_3,0.003714286
pH7_p055_1,0.044142857
pH7_p055_2,0.044571429
pH7_p055_3,0.045742857
pH8_buffer_1,0.0114
pH8_buffer_2,0.011457143
pH8_buffer_3,0.011542857
pH8_p055_1,0.2364
pH8_p055_2,0.250257143
pH8_p055_3,0.253428571
pH9_buffer_1,0.033771429
pH9_buffer_2,0.035485714
pH9_buffer_3,0.035771429
pH9_p055_1,0.308257143
pH9_p055_2,0.336457143
pH9_p055_3,0.344857143
pH_85_buffer_1,0.0194
pH_85_buffer_2,0.019628571
pH_85_buffer_3,0.020457143
pH_85_p055_1,0.288314286
pH_85_p055_2,0.299742857
pH_85_p055_3,0.306742857
pH_95_buffer_1,0.052228571
pH_95_buffer_2,0.054
pH_95_buffer_3,0.056371429
pH_95_p055_1,0.3246
pH_95_p055_2,0.322342857
pH_95_p055_3,0.321714286
