date,filename,org,max_slope,r2,substrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,DH_bio2,4.4159,0.9997,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,DH_bio3,4.4098,0.9901,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,DH_bio1,4.1145,0.997,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,p006_bio2,1.7787,1,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,p006_bio3,1.5963,0.9999,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,p006_bio1,1.246,0.9995,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,p082_bio3,0.2632,0.9976,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,Asti_bio1,0.2565,0.9887,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,Asti_bio2,0.2529,0.9935,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,p059_bio2,0.2505,0.997,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,p082_bio1,0.2341,0.986,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,Asti_bio3,0.2302,0.9988,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,p012_bio2,0.2232,0.9958,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,N41_bio3,0.2169,0.9935,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,p012_bio1,0.1936,0.9691,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,N41_bio1,0.1801,0.9789,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,EV_bio3,0.1707,0.9933,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,EV_bio2,0.1533,0.9995,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,p035_bio2,0.15310000000000001,0.9984,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,p082_bio2,0.1485,0.9967,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,p059_bio1,0.1463,0.9899,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,p071_bio3,0.1401,0.9949,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,p071_bio2,0.1379,0.9983,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,p059_bio3,0.1374,0.9966,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,p035_bio1,0.1347,0.9989,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,p012_bio3,0.1253,0.9891,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,p035_bio3,0.1143,0.9976,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,N41_bio2,0.1118,0.9536,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,EV_bio1,0.0969,0.9942,butyrate
20230302,output//20230302_64DHH_replication_4NP_butyrate_all_data_calculated_slopes.csv,p071_bio1,0.088,0.995,butyrate
20230309,output//20230309_64DHH_replication_4NP_butyrate_2_all_data_calculated_slopes.csv,DH_bio3,2.7934,0.9831,butyrate
20230309,output//20230309_64DHH_replication_4NP_butyrate_2_all_data_calculated_slopes.csv,DH_bio1,1.5619,0.9561,butyrate
20230309,output//20230309_64DHH_replication_4NP_butyrate_2_all_data_calculated_slopes.csv,DH_bio2,1.0746,0.9335,butyrate
20230309,output//20230309_64DHH_replication_4NP_butyrate_2_all_data_calculated_slopes.csv,p083_bio3,0.787,0.9844,butyrate
20230309,output//20230309_64DHH_replication_4NP_butyrate_2_all_data_calculated_slopes.csv,p017_bio2,0.6452,0.994,butyrate
20230309,output//20230309_64DHH_replication_4NP_butyrate_2_all_data_calculated_slopes.csv,p024_bio3,0.5957,0.931,butyrate
20230309,output//20230309_64DHH_replication_4NP_butyrate_2_all_data_calculated_slopes.csv,p095_bio3,0.5808,0.999,butyrate
20230309,output//20230309_64DHH_replication_4NP_butyrate_2_all_data_calculated_slopes.csv,p017_bio3,0.5161,0.9703,butyrate
20230309,output//20230309_64DHH_replication_4NP_butyrate_2_all_data_calculated_slopes.csv,p017_bio1,0.4973,0.9642,butyrate
20230309,output//20230309_64DHH_replication_4NP_butyrate_2_all_data_calculated_slopes.csv,p079_bio2,0.4471,0.9798,butyrate
20230309,output//20230309_64DHH_replication_4NP_butyrate_2_all_data_calculated_slopes.csv,p079_bio3,0.4377,0.9952,butyrate
20230309,output//20230309_64DHH_replication_4NP_butyrate_2_all_data_calculated_slopes.csv,p023_bio3,0.405,0.9645,butyrate
20230309,output//20230309_64DHH_replication_4NP_butyrate_2_all_data_calculated_slopes.csv,p047_bio3,0.3828,0.957,butyrate
20230309,output//20230309_64DHH_replication_4NP_butyrate_2_all_data_calculated_slopes.csv,p083_bio2,0.3781,0.9527,butyrate
20230309,output//20230309_64DHH_replication_4NP_butyrate_2_all_data_calculated_slopes.csv,p047_bio1,0.364,0.9792,butyrate
20230309,output//20230309_64DHH_replication_4NP_butyrate_2_all_data_calculated_slopes.csv,p024_bio1,0.363,0.972,butyrate
20230309,output//20230309_64DHH_replication_4NP_butyrate_2_all_data_calculated_slopes.csv,p023_bio2,0.3504,0.9081,butyrate
20230309,output//20230309_64DHH_replication_4NP_butyrate_2_all_data_calculated_slopes.csv,EV_bio3,0.3461,0.9867,butyrate
20230309,output//20230309_64DHH_replication_4NP_butyrate_2_all_data_calculated_slopes.csv,p083_bio1,0.3374,0.9049,butyrate
